study_accession	tax_id	study_alias	submission_accession	library_strategy	run_accession	fastq_ftp	study_title
PRJDB2519	8355	PRJDB2519	DRA002236	RNA-Seq	DRR018527	ftp.sra.ebi.ac.uk/vol1/fastq/DRR018/DRR018527/DRR018527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR018/DRR018527/DRR018527_2.fastq.gz	RNA sequencing of the proliferating Xenopus tadpole tail blastema cells
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032858	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032858/DRR032858.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032865	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032865/DRR032865.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032866	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032866/DRR032866.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032872	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032872/DRR032872.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032873	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032873/DRR032873.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032876	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032876/DRR032876.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032877	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032877/DRR032877.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032878	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032878/DRR032878.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032880	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032880/DRR032880.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032883	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032883/DRR032883.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032886	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032886/DRR032886.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032887	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032887/DRR032887.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032888	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032888/DRR032888.fastq.gz	EXPANDE project
PRJDB3785	8355	DRP003810	DRA003460	RNA-Seq	DRR032889	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032889/DRR032889.fastq.gz	EXPANDE project
PRJDB4199	8355	DRP003796	DRA003991	RNA-Seq	DRR046059	ftp.sra.ebi.ac.uk/vol1/fastq/DRR046/DRR046059/DRR046059.fastq.gz	Subfunctionalization of Xenopus laevis myod1 genes
PRJDB4199	8355	DRP003796	DRA003991	RNA-Seq	DRR046063	ftp.sra.ebi.ac.uk/vol1/fastq/DRR046/DRR046063/DRR046063.fastq.gz	Subfunctionalization of Xenopus laevis myod1 genes
PRJDB4199	8355	DRP003796	DRA003991	RNA-Seq	DRR046064	ftp.sra.ebi.ac.uk/vol1/fastq/DRR046/DRR046064/DRR046064.fastq.gz	Subfunctionalization of Xenopus laevis myod1 genes
