study_accession	tax_id	study_alias	submission_accession	library_strategy	run_accession	fastq_ftp	study_title
PRJDB2671	8364	PRJDB2671	DRA000505	ChIP-Seq	DRR001805	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001805/DRR001805.fastq.gz	Comprehensive identification and characterization of the binding sites on TLE in the Xenopus tropicalis gastrula.
PRJDB2541	8364	PRJDB2541	DRA000506	ChIP-Seq	DRR001806	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001806/DRR001806.fastq.gz	Comprehensive identification and characterization of the binding sites on p300 in the Xenopus tropicalis gastrula.
PRJDB2215	8364	PRJDB2215	DRA000508	ChIP-Seq	DRR001809	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001809/DRR001809.fastq.gz	Comprehensive identification and characterization of the binding sites on Lim1/Lhx1 in the Xenopus tropicalis gastrula.
PRJDB2709	8364	PRJDB2709	DRA000509	ChIP-Seq	DRR001811	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001811/DRR001811.fastq.gz	Comprehensive identification and characterization of the binding sites in the Xenopus tropicalis gastrula.
PRJDB2739	8364	PRJDB2739	DRA000513	RNA-Seq	DRR001816	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001816/DRR001816.fastq.gz	Comprehensive analysis of CRMs with RNA-seq data revealed that Lim1/Otx2-bound CRMs co-localizing with TLE rather than p300 are strongly associated with region/tissue-specific genes.
PRJDB2825	8364	PRJDB2825	DRA000516	RNA-Seq	DRR001819	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001819/DRR001819.fastq.gz	Comprehensive analysis of CRMs with RNA-seq data revealed that Lim1/Otx2-bound CRMs co-localizing with TLE rather than p300 are strongly associated with region/tissue-specific genes.
PRJDB1986	8364	PRJDB1986	DRA000573	ChIP-Seq	DRR002164	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002164/DRR002164.fastq.gz	Comprehensive identification and characterization of the binding sites of H3K4me1 in the Xenopus tropicalis gastrula st10.5.
PRJDB2633	8364	PRJDB2633	DRA000577	ChIP-Seq	DRR002168	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002168/DRR002168.fastq.gz	Comprehensive identification and characterization of the binding sites in the Xenopus tropicalis gastrula.
PRJDB2034	8364	PRJDB2034	DRA000642	RNA-Seq	DRR002621	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002621/DRR002621.fastq.gz	Comprehensive identification of genes expressed in the marginal zone of Xenopus gastrulae
PRJDB1929	8364	PRJDB1929	DRA000643	RNA-Seq	DRR002622	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002622/DRR002622.fastq.gz	Comprehensive identification of genes expressed in the dorsal region of X. tropicalis injected with head organizer cocktail
PRJDB2430	8364	PRJDB2430	DRA000649	RNA-Seq	DRR002628	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002628/DRR002628.fastq.gz	Comprehensive identification of genes expressed in early Xenopus gastrulae (st. 10.5)
PRJEB2487	8364	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_-sc-2011-04-08T11:42:45Z-1795	ERA119043	WXS	ERR109102	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109102/ERR109102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109102/ERR109102_2.fastq.gz	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_
PRJEB2487	8364	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_-sc-2011-04-08T11:42:45Z-1795	ERA119043	WXS	ERR109107	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109107/ERR109107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109107/ERR109107_2.fastq.gz	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_
PRJEB2487	8364	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_-sc-2011-04-08T11:42:45Z-1795	ERA119043	WXS	ERR109123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109123/ERR109123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109123/ERR109123_2.fastq.gz	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_
PRJEB2487	8364	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_-sc-2011-04-08T11:42:45Z-1795	ERA119043	WXS	ERR109131	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109131/ERR109131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109131/ERR109131_2.fastq.gz	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_
PRJEB2487	8364	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_-sc-2011-04-08T11:42:45Z-1795	ERA119043	WXS	ERR109138	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109138/ERR109138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/ERR109138/ERR109138_2.fastq.gz	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_
PRJEB2487	8364	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_-sc-2011-04-08T11:42:45Z-1795	ERA120986	WXS	ERR112226	ftp.sra.ebi.ac.uk/vol1/fastq/ERR112/ERR112226/ERR112226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR112/ERR112226/ERR112226_2.fastq.gz	Identification_of_mutants_in_Xenopus_tropicalis_by_Exome_Sequencing_
PRJEB46354	8364	E-MTAB-8839_3	ERA5251311	RNA-Seq	ERR6295321		single cell RNAseq on isolated spinal cord cells before and 3 day post tail amputation in Xenopus tropicalis tadpoles at stage NF50
PRJNA628999	8364	GSE149538	SRA1070177	RNA-Seq	SRR11635833	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/033/SRR11635833/SRR11635833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/033/SRR11635833/SRR11635833_2.fastq.gz	Neurodevelopmental disorder risk gene DYRK1A is required for ciliogenesis and brain size in Xenopus embryos
PRJNA240154	8364	PRJNA240154	SRA142147	RNA-Seq	SRR1189558	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/008/SRR1189558/SRR1189558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/008/SRR1189558/SRR1189558_2.fastq.gz	Re-annotation of Xenopus tropicalis genome with RNA-Seq and RNA-PET
PRJNA242234	8364	GSE56000	SRA147084	ChIP-Seq	SRR1199244	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/004/SRR1199244/SRR1199244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/004/SRR1199244/SRR1199244_2.fastq.gz	Enhancer chromatin signatures predict Smad2/3 binding in Xenopus
PRJDB2709	8364	PRJDB2709	DRA000509	ChIP-Seq	DRR001810	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001810/DRR001810.fastq.gz	Comprehensive identification and characterization of the binding sites in the Xenopus tropicalis gastrula.
PRJNA242234	8364	GSE56000	SRA147084	RNA-Seq	SRR1199257	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/007/SRR1199257/SRR1199257.fastq.gz	Enhancer chromatin signatures predict Smad2/3 binding in Xenopus
PRJNA677830	8364	GSE161247	SRA1157610	RNA-Seq	SRR13023967	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/067/SRR13023967/SRR13023967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/067/SRR13023967/SRR13023967_2.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset1]
PRJDB2086	8364	PRJDB2086	DRA000510	ChIP-Seq	DRR001812	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001812/DRR001812.fastq.gz	Comprehensive identification and characterization of the binding sites on Otx2 in the Xenopus tropicalis gastrula.
PRJDB2086	8364	PRJDB2086	DRA000510	ChIP-Seq	DRR001813	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001813/DRR001813.fastq.gz	Comprehensive identification and characterization of the binding sites on Otx2 in the Xenopus tropicalis gastrula.
PRJNA677830	8364	GSE161247	SRA1157610	RNA-Seq	SRR13023970	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/070/SRR13023970/SRR13023970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/070/SRR13023970/SRR13023970_2.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset1]
PRJNA677829	8364	GSE161248	SRA1157611	RNA-Seq	SRR13023971	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/071/SRR13023971/SRR13023971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/071/SRR13023971/SRR13023971_2.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset2]
PRJDB1904	8364	PRJDB1904	DRA000514	RNA-Seq	DRR001817	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001817/DRR001817.fastq.gz	Comprehensive analysis of CRMs with RNA-seq data revealed that Lim1/Otx2-bound CRMs co-localizing with TLE rather than p300 are strongly associated with region/tissue-specific genes.
PRJNA677829	8364	GSE161248	SRA1157611	RNA-Seq	SRR13023974	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/074/SRR13023974/SRR13023974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/074/SRR13023974/SRR13023974_2.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset2]
PRJNA677828	8364	GSE161249	SRA1157612	RNA-Seq	SRR13023976	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/076/SRR13023976/SRR13023976.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset3]
PRJNA677828	8364	GSE161249	SRA1157612	RNA-Seq	SRR13023978	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/078/SRR13023978/SRR13023978.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset3]
PRJNA677828	8364	GSE161249	SRA1157612	RNA-Seq	SRR13023979	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/079/SRR13023979/SRR13023979.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset3]
PRJNA677828	8364	GSE161249	SRA1157612	RNA-Seq	SRR13023981	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/081/SRR13023981/SRR13023981.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset3]
PRJNA677828	8364	GSE161249	SRA1157612	RNA-Seq	SRR13023982	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/082/SRR13023982/SRR13023982.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset3]
PRJNA677827	8364	GSE161250	SRA1157613	RNA-Seq	SRR13023987	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/087/SRR13023987/SRR13023987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/087/SRR13023987/SRR13023987_2.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset4]
